"","geneNames","feature","id","fc","pval","qval","mean"
"366","SPO2589.t01","gene","MSTRG.2027",1.49174648242681,0.0218595319492805,0.104415487625165,108.391850071429
"367","SPO2592.t01","gene","MSTRG.2029",1.60961323433583,0.031120987505285,0.121229228648672,91.0337797857143
"368","SPO0281.t01","gene","MSTRG.203",1.6204041594846,0.0305025657780036,0.120882842329566,127.015552071429
"369","SPO2593.t01","gene","MSTRG.2030",1.71670760401042,0.00796703796606812,0.0641037156735821,90.0348561428571
"370","SPO2597.t01","gene","MSTRG.2034",1.43614523035191,0.014241281044122,0.084303297609401,122.363397857143
"371","SPO2598.t01","gene","MSTRG.2035",1.35778876356586,0.0397687016264004,0.135390674917785,140.037430928571
"372","SPO0282.t01","gene","MSTRG.204",1.53804336242654,0.000558178360442252,0.0295564219409884,156.02110529288
"373","SPO2603.t01","gene","MSTRG.2040",0.457762019106744,0.0138416195592354,0.0827485602628618,77.6082471428572
"374","SPO2610.t01","gene","MSTRG.2047",1.78127159073277,0.00182588587235788,0.0398140203320824,109.765450571429
"375","SPO_tRNA-Val-3.r01","gene","MSTRG.2048",0.66002501447628,0.0420272071775751,0.138959192403174,394.420387285714
"376","SPO0288.t01","gene","MSTRG.205",1.54500576838802,0.00760386711960592,0.0630661466055663,102.960740719174
"377","SPO2616.t01","gene","MSTRG.2053",1.42298537353632,0.0259133285720332,0.112144496365914,154.652684428571
"378","SPO2619.t01","gene","MSTRG.2055",0.609979922719971,0.00504377501344733,0.0520463125592683,391.557017714286
"379","SPO2622.t01","gene","MSTRG.2058",1.70299225960553,0.00113835774631044,0.0326654292537395,100.287962357143
"380","SPO2623.t01","gene","MSTRG.2059",0.328436371867069,0.00624161993558769,0.0574235277393897,78.7611415
"381","SPO2625.t01","gene","MSTRG.2061",0.447433546233391,0.0274581189528474,0.115590058785426,70.7416407857143
"382","SPO2633.t01","gene","MSTRG.2066",0.852419085576093,0.00941964541375295,0.0690843463420156,0.0626082142857143
"383","SPO2637.t01","gene","MSTRG.2068",1.33363429753912,0.0448979481773042,0.144642077947292,154.8406885
"384","SPO2638.t01","gene","MSTRG.2069",0.525174043280591,0.0103875108788705,0.0731095510901393,750.755935714286
"385","SPO2642.t01","gene","MSTRG.2072",0.352749618994423,0.000299706068454975,0.0250741490639916,85.75785
"386","SPO2643.t01","gene","MSTRG.2073",0.45403931403412,0.0223633310064597,0.104861337425487,76.7344899016488
"387","SPO2656.t01","gene","MSTRG.2084",1.77021749643277,0.00474446264059547,0.0513983452731176,111.059161214286
"388","SPO2662.t01","gene","MSTRG.2086",0.344173672747313,0.00187495204864763,0.0398140203320824,82.6888058928445
"389","SPO2666.t01","gene","MSTRG.2089",0.439512284615601,0.000891838927710609,0.0319910169182914,76.2044428571429
"390","SPO2667.t01","gene","MSTRG.2090",0.626864678886404,0.0319657114616896,0.122930781317287,83.6138355714286
"391","SPO2668.t01","gene","MSTRG.2091",0.504150631437848,0.00401844572546084,0.0487923234480983,87.9836499285714
"392","SPO0295.t01","gene","MSTRG.210",1.51057238808513,0.00042540342198949,0.0276732850116457,157.334807285714
"393","SPO2680.t01","gene","MSTRG.2100",1.58441512901242,0.0074454858335693,0.0628035255427029,149.448763214286
"394","SPO2685.t01","gene","MSTRG.2104",1.42406540203457,0.0366061354284624,0.130905435755505,92.0081414285714
"395","SPO2686.t01","gene","MSTRG.2105",1.62399927234515,0.0378609448647527,0.132478360660557,155.234655642857
"396","SPO2689.t01","gene","MSTRG.2107",1.31932324603071,0.0357325243965259,0.129598816602279,157.649186285714
"397","SPO2690.t01","gene","MSTRG.2108",1.40470563597157,0.0160156997261585,0.0889509154369719,120.747486714286
"398","SPO2692.t01","gene","MSTRG.2110",1.45127427648464,0.0165427268654077,0.089606437187625,110.674840285714
"399","SPO2693.t01","gene","MSTRG.2111",1.36908540970394,0.0156282991845214,0.0882586231630124,119.775234357143
"400","SPO2697.t01","gene","MSTRG.2115",0.264013190997455,0.00125375979181985,0.0349261656292673,80.8521687306323
"401","SPO2699.t01","gene","MSTRG.2116",0.355241775738842,0.000464047241653276,0.0284873445570483,79.1663571508411
"402","SPO2702.t01","gene","MSTRG.2118",0.321966652196516,0.000391370690944859,0.0269029068026872,77.3621362142857
"403","SPO2703.t01","gene","MSTRG.2119",0.131012659027377,0.00103694877743454,0.0319910169182914,86.7420738571429
"404","SPO2705.t01","gene","MSTRG.2121",0.50764725890926,0.0292629425546196,0.118590042259858,22.7439729980633
"405","SPO2708.t01","gene","MSTRG.2122",0.356326535514501,0.00136730526140605,0.0354110698559457,90.5449382857143
"406","SPO2709.t01","gene","MSTRG.2123",0.226943494868723,0.000771790402910311,0.0311855755906891,82.8579168188998
"407","SPO2712.t01","gene","MSTRG.2124",0.417500652381601,0.0200210229868043,0.0995047844096796,82.1021786428571
"408","SPO2718.t01","gene","MSTRG.2128",1.87567437177118,0.049597827085357,0.151956374110867,103.509352642857
"409","SPO2720.t01","gene","MSTRG.2130",0.30596112324184,0.000344729944728561,0.0253883645310313,84.2175184285714
"410","SPO2724.t01","gene","MSTRG.2133",1.89701346965817,0.042437037395997,0.13928591977003,104.679932785714
"411","SPO2725.t01","gene","MSTRG.2134",0.284633707025623,0.00099964818363607,0.0319910169182914,69.9761469285714
"412","SPO2726.t01","gene","MSTRG.2135",0.351948383752633,0.00647862802902277,0.0588401422361931,88.9913348571429
"413","SPO2729.t01","gene","MSTRG.2136",0.263362068611918,0.016956480271975,0.0913898046200203,84.5616067221227
"414","SPO2733.t01","gene","MSTRG.2138",1.70459152793273,0.010912942115159,0.0748125927452489,103.465161263164
"415","SPO2738.t01","gene","MSTRG.2141",1.4147599497203,0.0255778179659953,0.11179707691701,150.038212928571
"416","SPO2739.t01","gene","MSTRG.2142",1.63602168399884,0.0124890998756749,0.0796180117074276,123.16882227836
"417","SPO2746.t01","gene","MSTRG.2144",1.41257894885579,0.0358543599161946,0.129756771967451,142.679406785714
"418","SPO2748.t01","gene","MSTRG.2146",1.77133646961653,0.0133858763767462,0.0816900259761277,100.837636785714
"419","SPO2751.t01","gene","MSTRG.2149",1.50625656715998,0.00768018400883408,0.0630661466055663,121.887078928571
"420","SPO2752.t01","gene","MSTRG.2150",1.67115319700624,0.0338723560534486,0.12609545067459,142.5196375
